review_id,user_id,business_id,stars,useful,funny,cool,date
ioqycdsWBwHkMIEZaoITCl,uUfGVLRzChTrdSQkkbMxuZ,HDjIJLOrmAPHWfznMuxrrs,5,5,3,5,1624272663
vcpqidaNZyZwwSNYpEjlbg,tlBNAIuCskRyvnhjqldAoq,wnBvSruXKUurMwUjXErseD,5,5,5,5,1556054376
hlcPrUIgyQvDVKMBoFnMxb,bnfGihBAsLilBxueDBhnos,vSHdvaftHVPcfWlhvUpIdO,0,9,3,4,1475575219
basdMdaJKnlVEiqUUSiDct,UlovdbyrlPTzPRjcrvnzhG,WJYstOevTTDUsiOSBTQkQU,0,8,0,4,1571127089
PIPJVqUhXPIZKrqGunkDnO,UNvVcXYhFIizsDLOgmuJKL,QtvDkKteNQnZYwSSxEhFBX,3,7,2,3,1652628733
CNdIGcVIsflRjDAweyuEEq,pzuSKBCnZdoesQMcWhYDdg,XTPyyGprZHCFuKcuUsDSoX,3,0,5,1,1657772897
uQYZUdQDgSQAXOURJCOMYd,isCMHbXoROOGoBBJKrwjNX,bbfZnrlTrNCglTAYhOhAML,1,0,2,2,1473697467
GtkbhqoqTFPfzsLZXKGfyw,JbJhutIYuGOejkRapYxyra,RmxmeCYXhJxbLqfxUsFfiK,0,5,0,0,1460786020
RHLtIemBYoaIOJrGMHSMcS,JnvgyPBZEfLKFRhkDevbxi,GoZvLqqrStIYeopsZBKRRo,0,4,3,2,1477669517
FygQGfWVXWDrEOIQAKBkYA,LSFwHFjgEryWCiMhcTlEXX,DYlfLIpoDvNftOPZnYLWOw,1,5,2,3,1641920574
LCAqnwcoetzeWHDYDegRSy,KPsNIxofJeAtNlEtrwYQAc,uJbeyytMQkvEWwkFReXcfA,4,8,5,5,1527770573
qptbBOTXWOqgTdbTiWvEjm,gGgFbmRXsqKOJRDQiXSInB,RXubctTbixzANInaNWPlzl,0,9,0,4,1600472583
CYwAxDfgUVnPuVjDHgkqsU,QENwQwCMVoaDsHvKyxvNUO,OraVlfqttxpsBEMUEdCSIZ,3,8,3,5,1573120831
HzAiTVpMiDnuBciuYcYVgj,cxWdtfjdQbhCExRTAEyvki,OcquCDhoWtvnkcNpuSmguK,3,2,5,2,1441487842
WABTRplAxDXUVpwFyQBFEV,uKeXtSHWvuUxYgSgRTpMOu,FDvnCztzMrtBZozAxrSeie,1,1,1,5,1603197181
WDLOEfjoWGlIizPTDQrnPV,vDaLTKRdJUyVoGgqhiNVzE,IIVECabbQXOXSTnoFdfOPv,3,2,4,0,1479605991
ihjpkMuJppugGpRlUfMkVy,RqVGspcAxdEsCVuyMLmNDe,knEzKSzhMdfbHDMAKREjbV,1,3,2,0,1642790322
bDsNgJlwjuXsktuaMFYEZQ,qtEwutpHjOmocLxiFZCUPD,wrtiJUazFnMrEwrnwshKWm,1,4,1,5,1547228285
cGCTUKVSRghzcsYtTYKlIK,qDiBLIXczeDAgFNXpTYvST,yMvNqqtWFeDDLBVGdFxPsB,0,2,5,2,1451076572
rLAUnKWobIUfLVgtoThbht,iTftUnUKpcOYlzdzfmOKRT,GEwRLYrwfqLyUFuEWZlpVj,5,4,0,3,1508259594
PxszhxcylkDpMfUaRhPxep,XWXjxZqnGpbVXKMtRmFWaM,kGvsyrLHekpNZqsLeoJWUB,2,3,5,3,1532262674
FlbAiwjdeaPbtEzhfhgwvf,vZnLRmiQWthXqZqHStgjdp,zRdwAdvXNVsejGTVdnYzgo,1,1,3,5,1642315146
tVvpsxVoNKihVORDRenhrh,zKuCkzOQwVffFhTGgaDZUY,qdaXnOfHazMHKCgycQlRwz,5,4,1,0,1488481409
MDAELrkqKshmGBhKYhMYDH,JFeDkAIGYsDAZnuVBKIAwU,uwaNkboOezMkGrHHXHWvoe,5,5,0,3,1493233091
UaVmSkGRYNeKJuhomtXaUY,WKWORhCjZrEEwluMWQrrYh,lAcCTCdQFmRbyFHFAYKhnW,0,1,5,5,1628550135
KZLDxWxVrpetnXtEWeQCQI,IPLWRuNwPxihCbNuzkEVip,KukInPVeFuSSLqrPiQDgPP,2,6,1,4,1439824311
DLYdvHvZhuQETxESLhvesT,tSMCdGhiPNQfezeJreTzxm,fzICPYnucoivizqYXPLfxO,3,5,2,4,1646032365
AhKKAuMVmdszbCFvJNFbDA,HZNZufVlddOMpynAMUZDYZ,WzqGNNqJQEOyJnQvQkvWcy,0,6,2,5,1472872556
guMMVKAeUeGRMRjYJCTCnp,TpcysJcWOEJZaLOgxiKpqi,zWgcsnXmJMxVkSUzYPOlXv,3,4,5,4,1593032269
ygbnkCxJeoKboVTBPSqmgZ,YVqvxvECHamDfNjOUywjed,beBChtnooKJsOsWpLBkVGJ,5,2,3,5,1602319659
rvpdbOkogxqmIUiZjJTOUG,EywqPdwUvSsKKGaQSSEhDn,BLBLeAcWeczUQPXFpioAxC,4,4,5,2,1480276754
WuazPtyHNrUAfupegoxZOM,dUsCiWQGPhpXXUkIaqEnhp,SsIkfhkMzULmuTgqysmJHe,5,0,3,4,1452877514
ANSeqUhXCDYNxzzbxwkMFq,yVIxbnZGpqklVMsMDpjQST,UMmbWmsQrqTHovreeRaQJJ,4,7,5,3,1463430867
YGTNoixgRynWZqnXRHytxi,qRfKmsvBPApJPKKvoTXGFR,OtmLdAmzigWboQtxmGBviF,0,2,5,5,1515801248
jjVCztJxWzXiVIJdeORQWb,HxrnOsMlQZUIApfXTTJEIi,LRnmbrDxfAgZuhzOufQBtL,4,6,5,5,1592867474
bUkOYgfFJqKLotieCjyCTU,wWHoEFvQVFAwtnHdXwCWUG,HDcOxGNdntUFnZtVZvASbH,5,3,1,3,1489381963
CYbjDdphwShiwXLVonyRDo,KakvLfztvivcmJIVOOavDN,eXcXiQciCCFZaTNJkhyxLQ,3,7,1,3,1443403048
RfPKspMCNkhNGIKCBTHZEE,uwTWxXURSLjDRJUBeZCjxC,JUAPlBCeBKpeIfsgzZOmvp,2,3,0,2,1609331133
axYJGwcdtgkXLqzktNJodt,FZqMzymKhtTpVqsSLqYrMB,TEfyfYkUpFlBzWwmbuFBjE,5,8,3,5,1658406158
frzDdwYvNeDMrhQIFyUdzk,obvrPzpQudsVAKDFeSAtbh,XoLeIWsfZsIFmKAXPJeNMI,0,7,1,2,1580932591
SGwARbOdeHiSTZVaZdJmXr,EvKvnDzenjejTGURprHRZo,VTnTcrEzNLzgxBntXWXvOW,3,6,2,0,1550030410
GPurNBIoLGJdjWDufqJprB,WxVzFoxmcqQOGWrbDYqBdt,RIXleYdlTgaZBPbrkOIYoA,0,4,0,2,1486964126
ofDezuPiDRuxEujPHIBhyZ,SZKuDSzmqZrEGrRNNtAeQe,NyiIvgdxkvqpQQFhuFQjvi,1,4,1,5,1524780730
MwEVWcmDnHnsoUGuqrTyBD,PFiMtnoLnJlIwxQiFbCRNg,LbXZnKGunLrrtAmgkjIZWx,1,3,3,3,1631972249
glSkFUhpgnHvEsxtEqlsdy,sYPZttDwgLuVJWoHpVyCSV,mZKMWtLyPgcvGNyIANmTMp,3,3,3,4,1635873391
IMNjItCFoiLBLWVMNOIKof,ROWBDNNTXbmAQYEXtACbPG,rrmTDxyxzWeJXEUTmWhMwW,5,7,4,2,1605434132
ZajXvQoZPtiwnFRoBYucVC,cQkfewgHXUxHDLiIoKwLJs,ymQAZNgGBAStvaKxRRuGSw,3,0,5,5,1639192975
BnBfSnaRwPuvLrGAvgEpYr,tyYRYLxuJSjTxOZHOcHaRT,BGQGTSFyCjfkiUzhrBrqoT,1,5,4,2,1594085294
qHJDSLXjPwBepyjJSIWEHd,PuybyJbBGxYrHHKayoJhkt,fhGYuFAbOnLFwJZwijlvqc,2,8,1,5,1511629688
kIXJgzNJGsEybDlJQhehjm,WtwVjakkKLrOdBfwyEOnJm,pNaqzIbUxNwjwgegsugkrs,3,3,0,2,1471712856
mIOdKmCFatyIbRTSPJijHB,uTGuavFJoGLAtyAzFnRbkD,dEgbsWMEMKyfLjkngGAaCS,2,0,4,2,1476473207
qJojDhIkHDIJTZtfrfbmqE,aujuxXJgFxumgQwbzvsgPP,hgSWJQVSEIuVEwqeTtFhNA,3,3,0,3,1467678390
LFeVljcpqqMbnTWVqlOOyz,hWgyyYzYcouaIhBRHFOASs,viMnHgROkvfpokryzgjoEr,1,4,3,5,1594725143
JyEDQzgEwQivVvAVrFOguT,dniPLgRMceNCBZHrzNkPph,tMOWDSdyeskoGjLlzFUmKK,0,9,0,0,1600815177
ynrcQVlGfTqiFDqleoAKZG,ivNZFWqsakOhYhxGaayEJy,elDKgqiJduTUCechPaLumQ,0,0,4,4,1607304475
FYlYZqLzPgKMmlaYplsakE,PoeRPyAyQrEiRJBlDPFWDg,APetQeDisGmKCgzNsnkjuJ,5,9,0,3,1580419674
RWavCSsPwPQhBHBVnaSiRi,SGsrKTJMuaIcmDTbeiQJUb,CitpHdGxTBTISXxtgkQsrs,2,7,3,3,1540657097
pZfxSzdOjwrCTouqxMYMls,TFzRWbIQaNtZKCyeLGmPfD,aoobdyvXlPUZqlAtwVbVAO,1,4,5,2,1522681800
GwZBVqBsUDReHNpqbzCHoT,AohGroZVFekjPdJfSHuXJH,OtSQLumZgQUHCRidSTPDiE,1,7,1,3,1548955273
jbumnsfMdLxIrWRplRdpeX,OLvJfFjcZckqjihXtzFIMf,ZVPSeooNCBwQVTSdAVuQud,1,1,0,1,1598654694
RQtoKEVxEVfEBYIhnxukJU,vnFhuzvDPLagMoruthfRIj,bIEgVkrhrFOBQDHdstqTjB,5,6,5,1,1671287006
muKqqxNzwdGNWKTzTecOIV,QBLPIxYBIbWxPiyzSvgLYW,yFzwOblLyeunlxPZJnZPIp,2,1,3,5,1614463427
QagvZXYoxHKMlAjgpkaVNn,soZWoeQKJyzJkchWNfeTHY,VCoCPcXuKFGDuEGSdXaTwh,3,4,1,3,1515212075
XgfcXKVGtVtxCPHRlePUPP,TdrzvvgiSKoDVWAmLlbZXa,bjkITvTabCVTQGgdxvJJuY,5,9,0,1,1620275481
LrfEjHkTYybDMOWuNaHiZk,haZwYhhSeddORMXxAMytJS,jmuofUMddkFZXfXtUoBnQk,0,7,1,0,1503747327
ilYhroDMEYlHyebjySIryq,EsVtHwSKxMYlUbaXSSFtHh,HmsgzZUEJinLXbQmZHkHxk,4,6,3,0,1476352722
sSQmZhePEOzTNgOzRgJyvq,siDpfMAfWOwTwYiLueFImY,VtXGCmaBWwYwOVWWGcxrvf,4,9,4,4,1505731641
WdDYCCwhwiMaUGeacHTwee,ErvTXOFYsZkbOfCUALuxlR,vxjoOzGgSmKsrUqQqkTDOn,0,9,1,1,1437516606
gsFdrutqKoaPkckQlJhqrG,AIKrNlhIkYNzwJHKKczcWb,WkyoaaTNfLZguDRKwGrzsS,0,6,3,5,1528552893
ZTsbbSvpslAdniWZwqvFsk,TYCSyhAnEcUBAiSFXPlYkb,VdlutabRgNEKLApSwyRfgc,2,5,2,1,1559049040
ynydKPMJxPFQABPPWvsVeZ,YVybwiDHsesccbsuOiwaui,VUqMoERhqbSLWwNmXatElX,2,4,2,0,1581239352
eZQMAkzEUqxcZLfpLfpqnj,EgnGCgrrBHuRjnWCpkfDvf,tIFVpdAqwnBKRCujpiXAud,4,6,4,0,1603048573
FTYnMDThqeqaGQTodqtvnW,tZNHtbNydyGQHfgUzHjkhz,EIeWjTUDVGvEJOfuBZDWxS,1,4,0,2,1566040553
sPwREBFzPARuLAYsfInKzH,oXNlzkZGchWHoYSIgIuPfZ,vPBhNqBvwuhgwLCSXSYNPd,1,0,3,4,1453648954
aJpOhhnSQRuboKGgJMhkOl,BkZPPLbElTEALtUmyIPLiH,NKgUIGqkZOlXgVINiVmPLj,3,4,1,1,1557830540
kqZSqpKWzKuNtoxdAxTpHv,XHkjrapcIonsRCNkCYdBZL,wdechiAcsRkaXzBCNQXUFN,1,5,3,4,1492597326
vhTBoBmRYesXSrrsMIgNpF,NWGUIHKyHDoWPAVJrvFLeY,RJELCLmfrwNHGrmngICKIS,0,6,3,2,1671379035
amvwqDBUJdoXOSkYaziAyG,NDHcRIXJGVPiDAwdKEkEBb,RuIceaPMWryiYRABLSuZoU,3,4,3,5,1541532945
tcHsYHPQmEPxpvQpXnAMnd,IaprgRGtYNgFMHDaDSvBJj,VXvnRGjlSnnQJgMUQHfxXv,1,7,3,5,1514991036
IhbqdaOZpRFvzoSJaLkgxH,HwgMWlRyUytZLnHubOmwLv,tdrOAIUPvczQIWZHbxjMGO,4,3,1,4,1635964093
cVkyUuGiLZJRuZWLNoumDJ,uYzERGjEvozkghScIqZMnf,MUUIGUUjHxlXzgdjvGDrUR,0,8,3,2,1589095728
gsFVMXgHcNnxEaTgrjMxFO,vumYLsOTebjrKeQdyhSUEU,bhvrhzceuUDCSWdcgQnQgL,3,3,3,3,1634149096
DvHBnzRWDSRWiVJEpCQnNu,lmFFIWXUwGOoEiffCXFdaZ,NEvJrzPiDcyCCxUCpSATjt,2,7,5,1,1518813101
GJeGkpLShItxInfvBKzEDY,zgSgEdRvbdUpxyMyKlQFIn,QyuNTckAaLORrOHDzpSkUc,4,6,4,2,1538587448
YmYvCQlEnyfzvfTzfBmCmR,aiZfIClhcthirUapuqHIfg,ngGGMhmdFkvzKPdwmtEqSB,5,4,2,1,1614523604
TIpzlBYyCViwRcZIMYkNLx,HkeVlMGXYdbolqTYnAKNyp,wNATfIQGfWIgnyyhiZwPSp,1,3,1,3,1512635227
AkbJgwOLGVYmBhMLqmZesJ,GbMfTlhtNsTVrsDMcBSaeR,JaXgLZqqKSvgekBBSISUYL,5,1,0,0,1573427013
TvTlfoRtvZAZtxYMPoSeID,bpQXrmhvaKvfRXFiOtrAsJ,gbcuutlVZHHiwJmSvCbSlG,4,8,5,2,1477409421
deGJbhipMDLirUyDgDzeyD,uVllZenTSSqpAWYkamMHWb,qLzinRpHIkyympFxHlQYve,2,5,5,1,1455634155
QXOZIMQoCNqEhkrhongJVe,AMyCEBsTciRKxKvdJLdJFr,wiIhsrxDREmnURXPaJjkIV,4,5,2,0,1437415314
OwCklJcxtkwSGaVMVgZCNx,SLPGoZstTcNuzJYxMNSjte,BNKteNeEnkuQyMhbkAjzac,4,7,2,1,1524183363
RPlwkQLSwkJPVophNzDNnb,ZPGjYHCPBfXLqZjMeCpcRr,KUJTjuDclUEXLIFbTVXHYd,2,2,2,2,1470743655
sKsUZwMXrjHBCixnfqHXuu,wNSoDdnoOHkBtABoQLJbuA,sieVXGsBXYaygyjbBtEAwW,0,1,2,5,1498405281
ZLeAtLqPNYVXpkzFhnVkLl,hTCnocTZggtSABzPoCGXQz,GZIZAAbnirCkyXmupvCqpl,5,2,3,5,1565423782
CNGmEtHeYNvAptWAhFhLJU,mAkkGTcwcykynzkNlGcxHS,asqhWoGxhxcwLoQhLYcfcK,5,3,0,0,1494327231
RSzyfEHniEGsWlwlCJCeRP,xrKSUtCLZsXehlbQXqHEbS,gnOoArtkoChpbJWKHJCwbr,1,6,0,3,1579973705
YyKgAwwUrvAyRaUGWahJsw,yQIReIzjiESipcOPTBNyxG,qRqnhdLdHlaNwttRCitNfU,0,5,0,2,1573149160
LdumJgMFWwQDgyZRfxVpds,wSlYGpYJYophcJpjEensGV,QyVOiMmeQjiIqmFTtQwIcS,2,3,2,3,1634804921
mkCXwfNsPoQyPoAeMEcNzT,lLPzWAYjgudhFgxptIFCqh,PSbdaEtqMWTxuyApDmZQkq,1,9,2,4,1491939797
DhkjkQcfSgFxazqYFVBzVo,snZZjMxvxyzFGVMUUFGabj,UoehpksGbINBJNoPlMouWB,4,0,3,3,1618780584
sZOvEnQWVSBdaxzjuVquNM,gDAWbbtOopxQvOIiHDJypW,NXqtdbkNUKYKlaKpaSCImS,3,0,4,0,1477638514
UgehtfggPHvfewjfnmkPhB,OjWNGKdWMxYOvWtovjrDyo,JZjmtFOlrUDGkWzJsrObRK,4,8,3,0,1513246325
NfesSJZLhBAMrRDSOLFkom,VlQXQefyYLOwkMCkMnIrWb,NvmOikLSlcKvNRonbzSkWJ,3,0,5,0,1639914365
ixWWvIgbDhkeHPwUqYhbqR,tOWHeaULuKPQsDEEOVSjcY,ShWUrysQtwarCXXbplOoIW,0,5,2,2,1578073665
OixLcLViWwvpnWvkKyrXci,fRUBjRefoyZxurChmvDSsw,CuspflYrZUwkrXegBVGtBE,0,1,4,3,1560945576
SDiOcWjCaInRxpXcZLMPsc,GJsvIrlvaygLuCWwDcfjgf,azEAuHlBvbInfoMxVOhEMx,0,9,2,0,1649440234
bNUrgyGzyBEoDhoOxVJZlu,FCHXaAsTpJJBPBCWLulona,urMQgWDuzwBBNTZrQmoXaX,0,7,1,1,1548674801
EAoOpIbXiHdEclCvJLegSF,EXEBaIGPHDwSbtfxocVRxh,TnlvctVjSMouGWXbAogMwb,1,2,3,4,1496987332
zTLXMhhXSvPRJRiBzsugom,VMrbBvCQEsUoqlTynJgZCW,JsgCICmbHeEHJzklSXfgzO,5,8,0,1,1446434459
NyuPlrdTemLQPlOqedlehA,tgCihsZRZHNzpWIIytIzEt,YAEMTtQaZCwqsiHvMvNEaq,4,4,1,4,1480281668
YtTWkwVBHkmCNYffDcMlbc,XoQfSNSHppAltDVbVTEjJs,oUBKwhfrKqDcagoydHKFTm,4,4,0,2,1649990732
jpOCzyhnJXNksOnrWHhpGn,zMaakwCpOmIkaTSZzLKQJJ,sdroOHRDMNvWIqVOPcMgdk,5,7,0,5,1458251802
LLUgULgCxRhOGSRYwFWKRO,VPWRSSQqFbCTETWEfQnsTw,TxUCyDKRCiIpXYZELvsfuc,3,9,3,3,1506670434
LFHTlMKOTdDouDFQAiSaMc,BxEVqyRaBDEROwcpHvtdCd,IeWmUGWULKcWVctdJgBxPO,2,9,3,1,1548688880
aMJINuWKctxRZuUPzzwWNP,QwJdWynqJuzcJFCOAqzITo,bJoiTXgBquQIAZpMSTerIg,2,4,3,3,1602535121
vosaVytgBIzGCahEvrDpKA,qzTCpfXFcikTixoUZsYmFq,HebgWURyjTECTMgHrxkMkc,4,1,5,3,1485935037
ijxMdRqxUEWiWaEWfhoeFb,hjTBcjosOnjaXQJghaiSvX,VNzkvqFCpPPhMRfubEICvA,4,4,5,3,1529131919
AhzrqxDIzMNPsdRYayAFpV,XlxldcsYYfBufAnVlZNDMM,uBqZHAwjjPSgoUUykBsYjJ,5,0,1,0,1449146412
XwfcGiEMUFEbLtOITzNHkv,XNaIIaSNQyxAcFDUzHPJCx,gKEsZYzpQUYovSnFAJcaQd,5,5,3,3,1646487145
TwennJeGtEFHiLyklmNqSi,TkXjsunVUlZGTcgWpsXCoV,ZedbsvUPDxOUgQqXZYbTqV,4,1,1,5,1528390017
tIAWHpnVlxDNzwgtZiaKaz,QtcvWBqgEFmSoFtREMEZfd,TeUaLdImLXjbelWMjejqVv,0,3,2,0,1562864379
eJKlAzuCIyhQHStuBAUXJd,VpJxSySdPfdPsVhRDzgyJe,kGvsyrLHekpNZqsLeoJWUB,4,5,5,4,1605290087
PmhHRHQARWUyhrGxLlZvFb,NnZLMVqLJAQiYhaRcjExen,lZuHyauNTfKXxQbZWUXKIL,3,3,0,4,1464826375
PTzgwXQJYRLKWAZzsJWZvy,nxoJfmJQObwbCOUnRUtZMA,NOObtrhhELHolpuBinDbpI,4,4,4,2,1597459082
iOYAwTEpIFmzJAQYWZzZAY,XyWEkecFmdRfOIzdbLrCdT,dvXxlcRiXBpDKqdbumgHNw,0,5,1,4,1618620916
reMhAkOkkEIWmPTbWnWzkj,KUkjkhktOCDoAfDhqWRvwC,SlOQAdtuMpOUUUKvdSNbWm,3,8,0,2,1517258866
zuZGoMfyzdrvmeTNPYaIQL,GkghbdVmXiFtLNvoMXTKZY,jatekXHInZhEFlhRBWPLsT,1,5,4,2,1442630246
mRyhCmDFrZVrwgjDxLDpCg,OBNWuLIBwgkULbFEhYPQNr,RJLJtQtiIOCadqFYokrGki,1,8,3,0,1501927066
AzFKKhrnbhDPUHvdltbAZD,SKjwiKJaclAhsrNYpDqoKq,TkqIFLxsDbShfSGlEoFLDa,0,9,2,0,1598897359
wPAOYheKOoYSSBxveJgRcc,yPoJSGbfnIzUQcJhaXeYxE,MwewjUOijAomgshIhSHrCg,1,2,5,4,1468463471
HBlwLeauxmHsdCpIpUcQtI,yHTiuPHprkeafSrfGKLZhA,WXpcDeuFcGGIPAmIIqqZCC,4,6,0,1,1564891355
LzbaNmMjRKqPKTghKCKyEN,oztLjslmNUNxwoaEHGDRko,MZQPGbLqkunlDGIEnVBHSL,1,9,5,1,1589564039
GIKVKdfSFFHLBikMaOgTMe,fDQZMcgMlTbTtcmlIzmEIK,txbEOoJFSvuidNReAcLZyW,1,5,1,0,1538027536
bnuWFePlLBhwXUtjIsoeYD,bjXIfYBmopKCmfGIedJXme,IvzKMiyAFfxhTPWKTdHWFr,4,3,4,3,1565929800
ZJCUHGAmIyPnAwpxLCHunN,PYDiaGkCjoISTmnSKfoRpo,VildDWaxCaAbRopFbylFTY,1,5,0,2,1594901028
XMSpewnkDkXERghOFfsXBs,XovzPwUKCKDFWgCcopTTLz,oWyngUZoTaBLAvEeFcjDcr,3,5,1,0,1546375755
JaFJvecrTaTRrNayOUrKkm,wbZrAVJDsfcIdtpNOEzZdB,uLFeHNFglNnnShzOlJUshs,0,9,4,0,1439402032
OfAjjJaVkkYbYXysBKqNYT,bbnNgmoFNgUhfCLeARvUgV,SsjcdaQpfPMedoHXRfIumu,3,7,0,2,1551306034
PhQenJOLkVgFizajbKDDKE,qmKPqiWnMTnlMyKKGvLwbI,mvgeKwJYfbEDCcGnoTGVRR,2,3,4,3,1514476354
pZyScrlhqzNbTelGBejmgu,qhAOygZMuolJkfQnPZNYHn,DcEwQMLLcqmUiucwfgsjRH,3,9,3,3,1631976315
QuHvExKkOUsqUbOuSxKAij,QIrTGufehwvnmxSYjPYIES,XNjDJVffdUruFeDutSnZJt,5,6,3,0,1476485281
ofcbiuPFAGjumiqcWExgNb,DhnyiozegvTjMWiHXmTQFf,ltlcyhEoCsCZGuyIEsyUdI,2,2,0,3,1435260802
lpnUZrWhaOFWxwSbibrcXV,YnCXTQHuRLpawfQWYHRyYH,YnOzucdAXKykkxyVeJuyky,5,5,1,2,1444088419
VYcOFpbiRorVTsWHFJQMjb,cbjiVCjXNrEoSPbTyOmJht,gkevOgBuVvrFMuMThGvHbU,5,2,2,2,1495003610
feqshqvEzJFThHjYzjNrDb,ZbCrjPnmZfiDqftPTpiEuN,wdldCSMylXznPDVAWbsRsB,2,8,1,4,1622217160
HKIFqiJZMbPRxTFqTJqlls,HxLxlSPPGzJhPdPigYNiBy,soMZSzsjOEfpsJDTNOwkCD,1,9,5,2,1583642603
pqKlPiBguzWTebGgwygpJP,nfkzmvyAaIWJaJogmWtjEL,mAslTRbaMLdSSHXgybrwBD,4,9,4,0,1674586201
xqxRDdiMtglSLWTLCOrtqC,SVqjxoVsgQmrPMTNbTEqOv,yortBLpPCaATGSECqhEUyu,2,6,1,3,1444438589
QZeGGFGGaXRGEuARmpGhvg,EwtryavrRGeqDboiVDTIBX,TquhsmqTwHfSWnbgHTRneP,2,1,4,0,1660621844
WCuIWkdpWemybwAgSDLOiM,ORUixwKzFYkzSQQWyznTes,RWooRHHZdszVLiytOmNnyN,0,1,2,3,1616817121
PXREfVveXMxDwKSAfhONDp,DwvMFgzSZYDtKeMRPozKTc,OssvdmeaNKMGSNuxkxVJqb,3,8,4,0,1562993304
AxUsvboXkcjfQeLfllsRXM,uCEIsbQGnCYGpmUgBWLTzc,grrsXhLQtCRXKxRIpyNhkh,4,5,5,2,1619965043
mTCeeaoelJYsBLZmpDiaBj,veLEIdhYVvcfvXNKRHAcmn,cKemouYlcIBMRlPFWPgOBG,3,8,0,0,1567835093
pGYeYhmXnBBytjxEdAfVYo,eKcMzSOSDXjsFmtMjWZaeC,mCKWhxLNsTkIjNtYtOQdxs,0,1,5,1,1575290230
ZAQcpnqmbpKJMHuqRruZPw,AciqrJGPnXFhhniqxqCrho,eSxGlsUSWKfjVJeVnHlLnu,1,4,1,1,1537895126
PZlCfCDcrTXygscdKWUiJs,PjVKzaEBVxQRWhqrLXxfEK,RTjXFwnKzPWoAPKdLDIKfH,1,6,3,5,1500193097
nuKEzdCEXexcdZIJEbURwn,lFZpznittaUlGjbQiKgOlc,SVcQLygBKdlNBtCsCfIwFa,2,0,0,4,1535106934
